Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Jacarepaguá;1;0;0;30;550.0;18.0;8.0
Quitinete;Catete;1;0;0;24;1100.0;357.0;
Apartamento;Campo Grande;1;0;0;50;500.0;;
Apartamento;Copacabana;1;0;0;28;1100.0;450.0;54.0
Quitinete;Centro;1;0;0;40;1000.0;275.0;20.0
Quitinete;Taquara;1;0;0;20;500.0;;
Casa;Santa Teresa;1;0;0;22;500.0;98.0;6.0
Apartamento;Centro;1;0;0;30;800.0;400.0;
Apartamento;Praça da Bandeira;1;0;0;39;900.0;437.0;
Apartamento;Santa Teresa;1;0;0;49;660.0;235.0;14.0
Quitinete;Copacabana;1;0;0;21;700.0;508.0;
Casa de Vila;Água Santa;1;0;0;40;600.0;100.0;14.0
Apartamento;Centro;1;0;0;25;1000.0;321.0;24.0
Apartamento;Rocha Miranda;1;1;0;35;699.0;99.0;
Casa;Campo Grande;1;0;0;50;450.0;;2.0
Apartamento;Pechincha;1;1;0;46;800.0;585.0;
Quitinete;Centro;1;0;0;30;800.0;400.0;23.0
Apartamento;Centro;1;0;0;20;1000.0;216.0;21.0
Apartamento;Realengo;1;0;0;60;700.0;;
Quitinete;Centro;1;0;0;27;800.0;450.0;15.0
Apartamento;Praça da Bandeira;1;0;0;35;1090.0;450.0;25.0
Apartamento;Ramos;1;0;0;45;600.0;240.0;
Apartamento;Tijuca;1;0;0;33;1000.0;515.0;14.0
Casa de Vila;Pavuna;1;0;0;30;450.0;20.0;50.0
Apartamento;Campo Grande;1;1;0;40;500.0;182.0;
Casa de Vila;Bento Ribeiro;1;0;0;53;700.0;40.0;
Apartamento;Centro;1;0;0;55;950.0;433.0;47.0
Quitinete;Fátima;1;0;0;35;900.0;310.0;25.0
Apartamento;Centro;1;0;0;34;800.0;424.0;25.0
Apartamento;Campo Grande;1;1;0;50;500.0;180.0;
Apartamento;Honório Gurgel;1;0;0;80;750.0;;
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0
Quitinete;Botafogo;1;0;0;25;1100.0;570.0;
Apartamento;Colégio;1;0;0;45;660.0;;
Casa;Campo Grande;1;0;0;70;700.0;;
Apartamento;Cachambi;1;1;0;35;800.0;407.0;
Apartamento;Freguesia (Jacarepaguá);1;1;0;55;900.0;395.0;88.0
Casa;Rocha Miranda;1;2;0;47;850.0;;
Casa de Vila;Turiaçu;1;0;0;50;900.0;;
Apartamento;Ilha do Governador;1;0;0;35;750.0;;60.0
Apartamento;Catete;1;0;1;34;1000.0;400.0;53.0
Quitinete;Copacabana;1;1;0;24;1100.0;341.0;22.0
Casa;Jardim América;1;0;0;45;500.0;;
Casa de Vila;Vila Militar;1;0;0;30;500.0;;
Quitinete;Copacabana;1;0;0;32;1100.0;530.0;28.0
Apartamento;Lapa;1;0;0;30;1100.0;420.0;
Casa de Vila;Padre Miguel;1;0;0;40;670.0;;2.0
Apartamento;Centro;1;0;0;30;1000.0;394.0;20.0
Casa de Vila;Pilares;1;0;0;24;500.0;8.0;13.0
Quitinete;Pedra de Guaratiba;1;0;0;70;400.0;;
Casa;Maria da Graça;1;0;0;40;900.0;;
Apartamento;Vila Isabel;1;0;0;36;1050.0;385.0;
Quitinete;Centro;1;0;0;21;800.0;306.0;
Apartamento;Freguesia (Jacarepaguá);1;0;0;28;500.0;;
Quitinete;Santa Teresa;1;0;0;30;500.0;;31.0
Apartamento;Campo Grande;1;0;0;21;330.0;;
Casa;Pavuna;1;0;0;40;550.0;;
Quitinete;Copacabana;1;0;0;18;1000.0;530.0;25.0
Apartamento;Olaria;1;1;0;60;860.0;555.0;80.0
